Milliseconds,Illuminance
182401,574.0
182501,574.0
182602,574.0
182702,574.0
182826,574.0
182901,574.0
183003,574.0
183101,574.0
183201,574.0
183301,574.0
183401,574.0
183502,574.0
183601,575.0
183702,575.0
183802,574.0
183903,575.0
184002,575.0
184101,574.0
184201,574.0
184302,575.0
184401,575.0
184501,575.0
184603,575.0
184702,575.0
184801,575.0
184901,575.0
185002,575.0
185101,575.0
185201,572.0
185302,572.0
185401,572.0
185501,572.0
185602,572.0
185702,572.0
185801,572.0
185902,574.0
186001,574.0
186102,572.0
186201,572.0
186301,574.0
186401,574.0
186501,574.0
186602,572.0
186701,572.0
186802,572.0
186901,572.0
187001,572.0
187101,572.0
187202,574.0
187304,574.0
187403,572.0
187501,575.0
187604,575.0
187701,572.0
187807,572.0
187901,572.0
188001,572.0
188101,572.0
188202,572.0
188303,572.0
188401,572.0
188501,572.0
188601,572.0
188702,572.0
188806,570.0
188901,570.0
189001,572.0
189105,572.0
189201,570.0
189305,572.0
189401,572.0
189501,572.0
189601,572.0
189702,572.0
189801,572.0
189907,572.0
190002,572.0
190101,572.0
190201,572.0
190302,572.0
190401,572.0
190501,572.0
190601,570.0
190701,570.0
190802,570.0
190901,570.0
191001,570.0
191102,570.0
191202,570.0
191301,570.0
191401,570.0
191502,570.0
191601,570.0
191701,570.0
191801,570.0
191905,570.0
192001,570.0
192101,570.0
192201,570.0
192302,570.0
192401,571.0
192502,571.0
192601,571.0
192701,571.0
192811,570.0
192903,571.0
193001,571.0
193101,570.0
193204,570.0
193302,570.0
193401,570.0
193501,570.0
193601,570.0
193702,570.0
193802,570.0
193902,570.0
194001,570.0
194101,570.0
194205,568.0
194301,568.0
194401,568.0
194501,568.0
194602,568.0
194702,568.0
194802,568.0
194902,571.0
195003,571.0
195102,569.0
195202,569.0
195301,569.0
195405,569.0
195501,568.0
195602,569.0
195701,569.0
195803,569.0
195901,569.0
196003,569.0
196101,569.0
196201,569.0
196302,569.0
196401,568.0
196501,569.0
196601,569.0
196701,568.0
196802,568.0
196902,568.0
197001,568.0
197102,565.0
197201,565.0
197301,568.0
197401,568.0
197502,568.0
197601,569.0
197701,569.0
197804,569.0
197904,569.0
198001,566.0
198101,566.0
198201,569.0
198303,566.0
198401,566.0
198501,566.0
198601,566.0
198702,566.0
